Country,University,Founded,Type,Enrollment,Link
Albania,University of Tirana,1957,Public,35000,https://en.wikipedia.org/wiki/University_of_Tirana
Algeria,Constantine University,1978,Public,85000,https://en.wikipedia.org/wiki/List_of_universities_in_Algeria
Angola,Agostinho Neto University,1962,Public,29827,https://en.wikipedia.org/wiki/Agostinho_Neto_University
Argentina,University of Buenos Aires,1821,Public,311175,https://en.wikipedia.org/wiki/University_of_Buenos_Aires
Australia,Monash University,1958,Public,73807,https://en.wikipedia.org/wiki/Monash_University
Austria,University of Vienna,1365,Public,91000,https://en.wikipedia.org/wiki/University_of_Vienna
Bangladesh,"National University, Bangladesh",1992,Public,2097182,"https://en.wikipedia.org/wiki/National_University,_Bangladesh"
Belarus,Belarusian State University,1921,Public,25500,https://en.wikipedia.org/wiki/Belarusian_State_University
Belgium,KU Leuven,1425,"Private, state-funded",55484,https://en.wikipedia.org/wiki/Katholieke_Universiteit_Leuven
Bosnia and Herzegovina,University of Sarajevo,1949,Public,30866,https://en.wikipedia.org/wiki/University_of_Sarajevo
Botswana,University of Botswana,1982,Public,32000,https://en.wikipedia.org/wiki/University_of_Botswana
Brazil,Estácio de Sá University,1970,Private,215000,https://en.wikipedia.org/wiki/Est%C3%A1cio_de_S%C3%A1_University
Bulgaria,Sofia University,1888,Public,18,https://en.wikipedia.org/wiki/Sofia_University
Canada,University of Toronto,1827,Public,84000,https://en.wikipedia.org/wiki/University_of_Toronto
China,Shanghai Open University,1960,Public,80000,https://en.wikipedia.org/wiki/Shanghai_Open_University
Colombia,National University of Colombia,1867,Public,53581,https://en.wikipedia.org/wiki/National_University_of_Colombia
Costa Rica,Universidad de Costa Rica,1940,Public,42750,https://en.wikipedia.org/wiki/Universidad_de_Costa_Rica
Croatia,University of Zagreb,1669,Public,72480,https://en.wikipedia.org/wiki/University_of_Zagreb
Denmark,Aarhus University,1928,Public,43600,https://en.wikipedia.org/wiki/Aarhus_University
